"","mean","sd"
"HabitatBreadth.predator",1.91080873359705,0.881093428050515
"BM.predator",4.3125402508956,2.19207472669544
"Longevity.predator",8.32316251143894,0.748245376304817
"ClutchSize.predator",1.79897730146908,1.55096809624784
"HabitatBreadth.prey",1.91080873359705,0.881093428050515
"BM.prey",4.3125402508956,2.19207472669544
"Longevity.prey",8.32316251143894,0.748245376304816
"ClutchSize.prey",1.79897730146908,1.55096809624784
"Habitat.match",0.308188285798678,0.241316742780119
"BM.match",9.61037574149628,14.7631708850819
